secao,icone,nome,disponivel,visivel,preco
valores,⚪️,Branca,1,1,1
valores,🔵,Azul,1,1,2
valores,🟣,Lilás,1,1,5
valores,🔴,Vermelha,1,1,10
valores,🟠,Laranja,1,1,30
salgados,🍢,Espetinho (carne frango linguiça),0,1,12
salgados,🍕,Mini Pizza (mussarela calabresa),1,1,12.50
salgados,🟢,Picanha,1,0,200
bebidas,🥤,Refrigerante,1,1,3
bebidas,🍊,Suco,1,1,5
bebidas,💧,Água,1,1,3
doces,🎂,Bolo Especial,1,1,6
doces,🍰,Bolo Simples,1,1,3
doces,🥧,Torta,1,1,5
doces,🍮,Pudim,1,1,5
doces,🩷,Algodão doce,1,1,3
brincadeiras,🎣,Pescaria,1,1,3
brincadeiras,🤡,Boca do Palhaço,1,1,3
bingo,⚪,Rodada Normal,1,1,2
bingo,🎉,3x Rodada Normal,1,1,5
bingo,🟡,Rodada Especial,1,1,5
versao,,,,,0.2.0
tempero,🟢,sal,1,1,5
tempero,🔵,pimenta,1,1,5
tempero,🟡,curry,1,1,5
tempero,🟣,chimichurri,1,1,5
salgados,🟤,coxinha,1,1,5
